riding,FEDNUM
Rivière-des-Mille-Îles,24062
Edmonton Griesbach,48015
Brampton West,35012
Burlington,35015
Scarborough – Guildwood,35095
Lambton – Kent – Middlesex,35048
Toronto Centre,35108
Edmonton Riverbend,48018
Outremont,24054
York – Simcoe,35119
Thunder Bay – Superior North,35106
Beauport – Côte-de-Beaupré – Île d'Orléans – Charlevoix,24020
Sherbrooke,24073
Etobicoke North,35029
Rosemont – La Petite-Patrie,24064
La Prairie,24034
Bourassa,24015
Northwest Territories,61001
Cape Breton – Canso,12001
Newmarket – Aurora,35065
Drummond,24025
Spadina – Fort York,35101
Toronto – St. Paul's,35090
Saint John – Rothesay,13009
Hamilton West – Ancaster – Dundas,35038
Saskatoon West,47012
Wellington – Halton Hills,35113
Fundy Royal,13004
Regina – Lewvan,47007
St. Albert – Edmonton*,48031
Gatineau,24027
North Vancouver,59021
Regina – Qu'Appelle,47008
Thornhill,35104
Lac-Saint-Louis,24036
Scarborough – Agincourt,35093
Kitchener Centre,35045
Pitt Meadows – Maple Ridge,59022
Argenteuil – La Petite-Nation,24005
Sydney – Victoria,12010
Ahuntsic – Cartierville,24003
Louis-Hébert,24044
Saskatoon – University,47011
Oxford,35080
Battle River – Crowfoot,48002
Saanich – Gulf Islands,59027
Edmonton West,48020
Cypress Hills – Grasslands,47002
Pickering – Uxbridge,35085
Mont-Royal,24052
Cambridge,35016
Labrador,10004
Dauphin – Swan River – Neepawa*,46004
Calgary Nose Hill,48009
Vancouver East,59035
Toronto – Danforth,35109
Brantford – Brant,35013
Essex,35026
Desnethé – Missinippi – Churchill River,47003
Etobicoke Centre,35027
Scarborough North,35096
St. Catharines,35089
Châteauguay – Lacolle,24021
Vancouver Granville,59036
Scarborough Southwest,35098
Vancouver Quadra,59039
Peace River – Westlock,48028
Miramichi – Grand Lake,13006
Cardigan,11001
Cumberland – Colchester,12003
Fort McMurray – Cold Lake,48023
Brampton North,35010
Eglinton – Lawrence,35024
Northumberland – Peterborough South,35071
West Nova,12011
Pierre-Boucher – Les Patriotes – Verchères,24014
Renfrew – Nipissing – Pembroke,35086
Coquitlam – Port Coquitlam,59008
Winnipeg South Centre,46014
Langley – Aldergrove,59016
Portneuf – Jacques Cartier,24058
Honoré-Mercier,24029
Alfred-Pellan,24004
Red Deer – Mountain View,48029
Saint Boniface – Saint Vital,46009
Humber River – Black Creek,35121
Scarborough Centre,35094
North Island – Powell River,59037
Charleswood – St. James – Assiniboia – Headingley,46002
Surrey – Newton,59033
Montcalm,24050
Mississauga – Erin Mills,35060
Elmwood – Transcona,46005
Rivière-du-Nord,24063
Brampton Centre,35008
Laurentides – Labelle,24038
Gaspésie – Les Îles-de-la-Madeleine,24026
Portage – Lisgar,46007
Rimouski-Neigette – Témiscouata – Les Basques,24018
Pierrefonds – Dollard,24056
Cowichan – Malahat – Langford,59010
Calgary Skyview,48013
Sault Ste. Marie,35092
Ajax,35001
Beauport – Limoilou,24008
Avalon,10001
Carleton,35088
Bay of Quinte,35006
Delta,59011
Nepean,35064
Yellowhead,48034
Battlefords – Lloydminster,47001
Madawaska – Restigouche,13005
Markham – Stouffville,35054
Kitchener South – Hespeler,35047
Burnaby South,59003
Banff – Airdrie,48001
Brampton South,35011
Thérèse-De Blainville,24013
Laurier – Sainte-Marie,24039
Marc-Aurèle-Fortin,24065
Kingston and the Islands,35044
Mississauga Centre,35058
Brampton East,35009
Medicine Hat – Cardston – Warner,48027
Lévis – Lotbinière,24042
Compton – Stanstead,24023
Barrie – Springwater – Oro-Medonte,35005
Parry Sound – Muskoka,35082
Coast of Bays – Central – Notre Dame,10003
Ottawa West – Nepean,35079
St. John's South – Mount Pearl,10007
Ottawa South,35077
Davenport,35018
Brome – Missisquoi,24016
Selkirk – Interlake – Eastman,46010
Hull – Aylmer,24030
Grande Prairie – Mackenzie,48024
Mirabel,24048
Calgary Centre,48004
Calgary Forest Lawn,48006
Brossard – Saint-Lambert,24017
Stormont – Dundas – South Glengarry,35102
London – Fanshawe,35051
Aurora – Oak Ridges – Richmond Hill,35003
Lac-Saint-Jean,24035
Prince Albert,47006
Red Deer – Lacombe,48030
Longueuil – Charles-LeMoyne,24041
Winnipeg North,46012
Malpeque,11004
South Okanagan – West Kootenay,59029
Parkdale – High Park,35081
Simcoe – Grey,35099
Hochelaga,24028
Perth – Wellington,35083
Halifax,12005
Markham – Unionville,35056
Oakville North – Burlington,35073
Abitibi – Témiscamingue,24002
Moose Jaw – Lake Centre – Lanigan,47005
Churchill – Keewatinook Aski,46003
La Pointe-de-l'Île,24033
Willowdale,35115
Barrie – Innisfil,35004
Steveston – Richmond East,59031
Timmins – James Bay,35107
Central Okanagan – Similkameen – Nicola,59005
Kildonan – St. Paul,46006
Bonavista – Burin – Trinity,10002
Fredericton,13003
Richmond Hill,35087
University – Rosedale,35110
Hastings – Lennox and Addington,35039
Calgary Heritage,48007
Don Valley East,35019
Papineau,24055
Bécancour – Nicolet – Saurel,24009
Central Nova,12002
Charlottetown,11002
Montarville,24049
Saint-Hyacinthe – Bagot,24066
Flamborough – Glanbrook,35030
Edmonton Strathcona,48019
Richmond – Arthabaska,24061
London West,35053
Mississauga East – Cooksville,35059
Scarborough – Rouge Park,35097
Kamloops – Thompson – Cariboo,59013
Notre-Dame-de-Grâce – Westmount,24053
Ville-Marie – Le Sud-Ouest – L'Île-des-Soeurs,24077
Ottawa Centre,35075
Joliette,24031
Lethbridge,48026
Vimy,24078
Leeds – Grenville – Thousand Islands and Rideau Lakes,35050
Calgary Shepard,48011
Chilliwack – Hope,59006
Kanata – Carleton,35041
Souris – Moose Mountain,47013
York South – Weston,35120
Vaudreuil – Soulanges,24074
Kelowna – Lake Country,59014
Nickel Belt,35069
Edmonton – Wetaskiwin,48021
Ottawa – Vanier,35078
Chatham-Kent – Leamington,35017
Edmonton Centre,48014
Sturgeon River,48033
Vancouver Kingsway,59038
Oshawa,35074
Mississauga – Streetsville,35063
Montmagny – L'Islet – Kamouraska – Rivière-du-Loup,24051
Kenora,35042
Beauséjour,13002
Egmont,11003
Hamilton East – Stoney Creek,35036
South Surrey – White Rock,59030
New Westminster – Burnaby,59019
Tobique – Mactaquac,13010
York Centre,35118
Vancouver South,59040
Haliburton – Kawaratha Lakes – Brock,35034
Repentigny,24060
Shefford,24072
Longueuil – Saint-Hubert,24043
Beaches – East York,35007
Dufferin – Caledon,35022
Fleetwood – Port Kells,59012
New Brunswick Southwest,13008
Brandon – Souris,46001
Vancouver Centre,59034
Port Moody – Coquitlam,59023
Windsor West,35117
Richmond Centre,59025
Saint-Laurent,24068
Yukon,60001
Hamilton Mountain,35037
Orléans,35076
Lanark – Frontenac – Kingston,35049
