riding,FEDNUM,riding_utf8
Markham – Unionville,35056,Markham – Unionville
Oakville North – Burlington,35073,Oakville North – Burlington
Abitibi – Témiscamingue,24002,Abitibi – Témiscamingue
Moose Jaw – Lake Centre – Lanigan,47005,Moose Jaw – Lake Centre – Lanigan
Churchill – Keewatinook Aski,46003,Churchill – Keewatinook Aski
La Pointe-de-l'Île,24033,La Pointe-de-l'Île
Willowdale,35115,Willowdale
Barrie – Innisfil,35004,Barrie – Innisfil
Steveston – Richmond East,59031,Steveston – Richmond East
Timmins – James Bay,35107,Timmins – James Bay
Central Okanagan – Similkameen – Nicola,59005,Central Okanagan – Similkameen – Nicola
Kildonan – St. Paul,46006,Kildonan – St. Paul
Bonavista – Burin – Trinity,10002,Bonavista – Burin – Trinity
Fredericton,13003,Fredericton
Richmond Hill,35087,Richmond Hill
University – Rosedale,35110,University – Rosedale
Hastings – Lennox and Addington,35039,Hastings – Lennox and Addington
Calgary Heritage,48007,Calgary Heritage
Don Valley East,35019,Don Valley East
Papineau,24055,Papineau
Bécancour – Nicolet – Saurel,24009,Bécancour – Nicolet – Saurel
Central Nova,12002,Central Nova
Charlottetown,11002,Charlottetown
Montarville,24049,Montarville
Saint-Hyacinthe – Bagot,24066,Saint-Hyacinthe – Bagot
Flamborough – Glanbrook,35030,Flamborough – Glanbrook
Edmonton Strathcona,48019,Edmonton Strathcona
Richmond – Arthabaska,24061,Richmond – Arthabaska
London West,35053,London West
Mississauga East – Cooksville,35059,Mississauga East – Cooksville
Scarborough – Rouge Park,35097,Scarborough – Rouge Park
Kamloops – Thompson – Cariboo,59013,Kamloops – Thompson – Cariboo
Notre-Dame-de-Grâce – Westmount,24053,Notre-Dame-de-Grâce – Westmount
Ville-Marie – Le Sud-Ouest – L'Île-des-Soeurs,24077,Ville-Marie – Le Sud-Ouest – L'Île-des-Soeurs
Ottawa Centre,35075,Ottawa Centre
Joliette,24031,Joliette
Lethbridge,48026,Lethbridge
Vimy,24078,Vimy
Leeds – Grenville – Thousand Islands and Rideau Lakes,35050,Leeds – Grenville – Thousand Islands and Rideau Lakes
Calgary Shepard,48011,Calgary Shepard
Chilliwack – Hope,59006,Chilliwack – Hope
Kanata – Carleton,35041,Kanata – Carleton
Souris – Moose Mountain,47013,Souris – Moose Mountain
York South – Weston,35120,York South – Weston
Vaudreuil – Soulanges,24074,Vaudreuil – Soulanges
Kelowna – Lake Country,59014,Kelowna – Lake Country
Nickel Belt,35069,Nickel Belt
Edmonton – Wetaskiwin,48021,Edmonton – Wetaskiwin
Ottawa – Vanier,35078,Ottawa – Vanier
Chatham-Kent – Leamington,35017,Chatham-Kent – Leamington
Edmonton Centre,48014,Edmonton Centre
Sturgeon River,48033,Sturgeon River
Vancouver Kingsway,59038,Vancouver Kingsway
Oshawa,35074,Oshawa
Mississauga – Streetsville,35063,Mississauga – Streetsville
Montmagny – L'Islet – Kamouraska – Rivière-du-Loup,24051,Montmagny – L'Islet – Kamouraska – Rivière-du-Loup
Kenora,35042,Kenora
Beauséjour,13002,Beauséjour
Egmont,11003,Egmont
Hamilton East – Stoney Creek,35036,Hamilton East – Stoney Creek
South Surrey – White Rock,59030,South Surrey – White Rock
New Westminster – Burnaby,59019,New Westminster – Burnaby
Tobique – Mactaquac,13010,Tobique – Mactaquac
York Centre,35118,York Centre
Vancouver South,59040,Vancouver South
Haliburton – Kawaratha Lakes – Brock,35034,Haliburton – Kawaratha Lakes – Brock
Repentigny,24060,Repentigny
Shefford,24072,Shefford
Longueuil – Saint-Hubert,24043,Longueuil – Saint-Hubert
Beaches – East York,35007,Beaches – East York
Dufferin – Caledon,35022,Dufferin – Caledon
Fleetwood – Port Kells,59012,Fleetwood – Port Kells
New Brunswick Southwest,13008,New Brunswick Southwest
Brandon – Souris,46001,Brandon – Souris
Vancouver Centre,59034,Vancouver Centre
Port Moody – Coquitlam,59023,Port Moody – Coquitlam
Windsor West,35117,Windsor West
Richmond Centre,59025,Richmond Centre
Saint-Laurent,24068,Saint-Laurent
Yukon,60001,Yukon
Hamilton Mountain,35037,Hamilton Mountain
Orléans,35076,Orléans
Lanark – Frontenac – Kingston,35049,Lanark – Frontenac – Kingston
